Year,MarketPriceUSD,Revenues,GrossProfit,OperatingIncomeLoss,NetIncomeLoss,NetCashFromOperatingActivities,Assets,CashAndCashEquivalents,Liabilities,StockholdersEquity,EarningsPerShare,PriceToEarning,PEGRatio,BookValuePerShare,PriceToBook,RevenueGrowthRate,NetIncomeGrowthRate,BookValueGrowthRate,GrossMargin,OperatingMargin,NetIncomeMargin,FreeCashFlowMargin,FreeCashFlow,OwnerEarnings,CurrentRatio,DebtToEquityRatio,InterestCoverageRatio,ReturnOnEquity,ReturnOnAssets,ReturnOnInvestedCapital,RetainedEarningsToNetIncome,DividendPayoutRatio,CapitalExpenditureToDepreciation
2015,33.7945,35747.00,,1108.00,482.00,11920.00,65444.00,15890.00,52060.00,13384.00,1.0255,659.0628,,28.4161,23.7854,,,,,3.10,1.35,20.51,7331.00,2949.00,1.08,0.64,2.41,3.6013,0.7365,3.2745,528.0083,0.00,0.9273
2016,37.4935,43741.00,,1255.00,749.00,16443.00,83402.00,19334.00,64117.00,19285.00,1.5735,476.5529,8.60,40.4298,18.5475,22.36,55.39,44.09,,2.87,1.71,22.19,9706.00,3978.00,1.04,0.46,2.59,3.8838,0.8981,3.7717,656.3418,0.00,1.0589
2017,58.4735,60453.00,,2127.00,1856.00,18434.00,131310.00,20522.00,103601.00,27709.00,3.8427,304.3394,2.06,57.2500,20.4274,38.21,147.80,43.68,,3.52,3.07,27.41,16573.00,15065.00,1.04,0.90,2.51,6.6982,1.4134,5.1219,465.3017,0.00,0.1621
2018,75.0985,72383.00,,3786.00,3027.00,30723.00,162648.00,31750.00,119099.00,43549.00,6.1776,243.1336,3.85,88.6945,16.9342,19.73,63.09,57.17,,5.23,4.18,42.45,30723.00,20317.00,1.10,0.57,2.67,6.9508,1.8611,6.2846,648.3317,0.00,0.0000
2019,92.3920,87437.00,,3879.00,3268.00,38514.00,225248.00,36092.00,163188.00,62060.00,6.5887,280.4555,35.23,124.6185,14.8280,20.80,7.96,42.51,,4.44,3.74,44.05,38514.00,29972.00,1.10,0.40,2.42,5.2659,1.4508,5.2461,955.3244,0.00,0.0000
2020,162.8465,125555.00,,6873.00,7222.00,66064.00,321195.00,42122.00,227791.00,93404.00,14.3865,226.3886,1.87,185.6938,17.5392,43.59,120.99,50.51,,5.47,5.75,52.62,66064.00,47104.00,1.05,0.36,4.17,7.7320,2.2485,6.9122,727.6516,0.00,0.0000
2021,166.7170,469822.00,197478.00,24879.00,33364.00,46327.00,420549.00,36220.00,282304.00,138245.00,65.9368,50.5688,0.14,271.6012,12.2766,274.20,361.98,48.01,42.03,5.30,7.10,9.86,46327.00,61775.00,1.14,0.37,13.75,24.1340,7.9334,18.5097,257.5081,0.00,0.0000
2022,84.0000,513983.00,225152.00,12248.00,-2722.00,46752.00,462675.00,53888.00,316632.00,146043.00,-0.2672,,,14.2592,5.8909,9.40,-108.16,5.64,43.81,2.38,-0.53,9.10,46752.00,39552.00,0.94,0.48,5.17,-1.8638,-0.5883,-0.4371,3056,0.00,0.0000
2023,151.9400,574785.00,270046.00,36852.00,30425.00,84946.00,527854.00,73387.00,325979.00,201875.00,2.9527,51.4573,0.04,19.4428,7.8147,11.83,1217.74,38.23,46.98,6.41,5.29,14.78,84946.00,86010.00,1.05,0.33,11.58,15.0712,5.7639,12.2664,373.4363,0.00,0.0000
2024,219.3900,637959.00,311671.00,68593.00,59248.00,115877.00,624894.00,78779.00,338924.00,285970.00,5.6572,38.7806,0.41,26.9961,8.1267,10.99,94.73,41.66,48.85,10.75,9.29,18.16,115877.00,113131.00,1.06,0.20,106.51,20.7183,9.4813,17.3867,291.7668,0.00,0.0000
2025,229.5300,691330.00,345982.00,76201.00,76482.00,35525.00,727921.00,66922.00,358290.00,369631.00,7.0700,32.4653,1.12,34.5870,6.6363,-71.76,29.09,29.26,192.03,42.29,42.45,19.72,35525.00,94602.00,1.01,0.15,,20.6914,10.5069,18.0073,299.8666,0.00,0.0000
